Area,Category - Split 1,Name,Price,Hidden Gem,Star,Stars count,Address,Latitude,Longitude
,Burgers,B3 Breakfast And Burger Bar,$$,Other,3.5,502,"4027 196th St SW, Lynnwood, WA 98036",47.8212484,-122.2880701
South Lake Union,Vietnamese,Ba Bar,$$,Other,3.5,259,"500 Terry Ave N, Seattle, WA 98109",47.6233843,-122.3368024
,Korean,Babsarang Restaurant,$,Hidden Gem,4.5,50,"22618 Hwy 99, Ste 115, Boo Han Market, Edmonds, WA 98026",47.7934184,-122.3374639
Downtown,Cocktail Bars,Bad Bishop,n/a,Hidden Gem,4.5,50,"704 1st Ave, Seattle, WA 98104",47.6027968,-122.3342595
Chinatown,Korean,Baegopa,n/a,Other,4,75,"509 7th Ave S, Seattle, WA 98104",47.5980509,-122.3241734
,Bars,Bahama Breeze,$$,Other,4,925,"15700 Southcenter Pkwy, Tukwila, WA 98188",47.4611109,-122.2614028
,Thai,Bai Tong Thai Restaurant,$$,Other,4,1380,"14804 NE 24th St, Redmond, WA 98052",47.6318263,-122.1417439
Crown Hill,Mexican,Baja Tacos & Beer Mexican Restaurant,$$,Other,4,161,"9211 Holman Rd NW, Seattle, WA 98117",,
,American,Bake’s Place Bar & Bistro,$$$,Other,4,272,,,
Mapleleaf,Thai,Ban Hua Sai,$$,Other,4.5,152,,,
,Thai,Ban SomTum,$$,Other,4,370,,,
,Mexican,Bandido’s Mexican Grill,n/a,Hidden Gem,4.5,57,,,
,Thai,Bangkok Basil,$$,Other,4,367,,,
Olympic Hills,Food Trucks,Bangkok Food Truck,$,Hidden Gem,5,42,,,
,Thai,Bangkok Garden Street Food,$$,Other,4,194,,,
Belltown,Bars,Bangrak Market,$$,Other,4,597,,,
,Vietnamese,Banh Mi Bites,$,Hidden Gem,4.5,82,"23601 56th Ave W, Ste 600, Mountlake Terrace, WA 98043",47.7846521,-122.3078559
,Vietnamese,Banh Mi Pho U!,$,Other,4.5,142,,,
,Bakeries,Banh Mi Station,$,Other,4,18,"17348 Southcenter Pkwy, Ste 105, Tukwila, WA 98188",47.4481961,-122.2600388
Greenwood,Vietnamese,Bánh Town,$$,Other,4,559,,,
,African,Bantaba African Restaurant,$$,Other,4.5,285,"19417 36th Ave W, Lynnwood, WA 98036",47.8224569,-122.2810767
,Thai,Banyan Tree,$$,Other,3.5,317,"504 Ramsay Way, Ste 105, Kent Station, Kent, WA 98032",47.385294,-122.234644
Capitol Hill,Bars,Bar Cotto,$$,Other,4.5,292,,,
,Asian Fusion,Bar Dojo,$$,Other,4,371,"8404 Bowdoin Way, Edmonds, WA 98026",47.8062468,-122.3469236
South Lake Union,Seafood,Bar Harbor,$$,Other,4,237,"400 Fairview Ave N, Ste 105, Seattle, WA 98109",47.622485,-122.3338633
,Filipino,Barkada Edmonds,$$,Other,4,152,"622 5th Ave S, Edmonds, WA 98020",47.8051459,-122.3779499
,American,Barking Frog,$$$,Other,4,971,"14580 NE 145th St, Woodinville, WA 98072",47.7336812,-122.1469097
,Noodles,Baron’s Sino Kitchen & Bar,$$$,Other,3.5,657,,,
,Thai,Basil Thai Restaurant,n/a,Other,4,1,"2318 SW 336th, Federal Way, WA 98023",,
,Mediterranean,Bay Leaf Bar & Grill,n/a,Hidden Gem,4.5,71,,,
,American,Bazille,$$,Other,3.5,48,,,
,Korean,bb.q Chicken and Pub,n/a,Other,4,57,"31515 Pete Von Reichbauer Way S, Ste 101, Federal Way, WA 98003",,
,Korean,BBQ Arirang,$$,Other,2.5,299,"18623 Hwy 99 S, Ste 150, Lynnwood, WA 98037",47.8298757,-122.3061481
,Barbeque,BBQ Pete’s,$$,Other,4,442,,,
,American,Beach Cafe,$$,Other,3,491,,,
,American,BeachHouse bar + grill,$$,Other,3.5,670,"6023 Lake Washington Blvd NE, Kirkland, WA 98033",47.6616696,-122.2071772
,Salvadoran,Belen Pupuseria,$,Other,4.5,129,"1833 Auburn Way N, Auburn, WA 98002",47.3242929,-122.2226829
,Mediterranean,Bella Balducci’s Mediterranean Cuisine,$$,Other,4.5,224,,,
Downtown,American,Ben Paris,$$,Other,4,298,"130 Pike St, Seattle, WA 98101",47.6093889,-122.339296
South Lake Union,Korean,Bentoful,n/a,Hidden Gem,4.5,15,"501 Fairview Ave N, Seattle, WA 98109",47.6237763,-122.3349243
,Szechuan,Best Of Chengdu,n/a,Other,4,53,,,
,Sushi Bars,Best Sushi,$$,Other,4,180,,,
,Sushi Bars,Best Sushi & Teriyaki,$,Other,4,113,,,
,Japanese,Best Teriyaki,$,Other,4,65,"1437 NW Richmond Beach Rd, Ste A, Shoreline, WA 98177",,
Queen Anne,American,Betty,$$,Other,4,373,"1507 Queen Anne Ave N, Seattle, WA 98109",47.6327115,-122.3573141
,Poke,Beyond The Bowl,$$,Other,4.5,222,"12518 Lake City Way NE, Seattle, WA 98125",47.7197922,-122.2947058
,Indian,Bhojan Xpress,$$,Other,4,159,,,
First Hill,Noodles,Biang Biang Noodles,$$,Other,4,228,,,
,Mediterranean,BiBi,$$,Hidden Gem,4.5,99,,,
,Food Trucks,Big Boys Filipino Food Truck,$,Other,4,84,"21230 84th Ave S, Kent, WA 98032",47.4108644,-122.2273635
,Filipino,Big Boys Kainan,$$,Other,4,297,,,
,Sushi Bars,Big Fish Sushi,$$,Other,4,175,,,
,Hawaiian,Big Island Poke,$$,Other,4,388,"235 Rainier Ave S, Renton, WA 98057",47.4813217,-122.2175675
,American,Billy McHale’s,$$,Other,3,178,,,
South Lake Union,American,Birch,n/a,Hidden Gem,4.5,26,"1001 Fairview Ave N, Ste 2250, Seattle, WA 98109",47.6291083,-122.3318472
,Mexican,Birrieria Apatzingan,n/a,Hidden Gem,5,1,,,
,Food Trucks,Birrieria Gourmet,n/a,Hidden Gem,4.5,4,"30640 Pacific Hwy S, Federal Way, WA 98003",47.3269949,-122.3122339
,Mexican,Birrieria Monarca,$$,Hidden Gem,4.5,47,,,
,Mexican,Birrieria Tijuana,n/a,Other,4.5,317,,,
,Indian,Biryani Bowl,n/a,Hidden Gem,4.5,15,,,
,American,Bis on Main,$$$,Other,3.5,442,"10213 Main St, Bellevue, WA 98004",47.6100032,-122.2038743
Downtown,Breakfast & Brunch,Biscuit Bitch,$,Other,4,4046,"1909 1st Ave, Seattle, WA 98101",47.6103938,-122.3418273
Belltown,Breakfast & Brunch,Biscuit Bitch,$$,Other,4.5,1477,"2303 3rd Ave, Seattle, WA 98121",47.6147513,-122.3451756
,Cafes,Biscuits Cafe,$$,Other,3.5,358,"35105 Enchanted Pkwy S, Ste G104, Federal Way, WA 98003",,
,Breakfast & Brunch,Bistro 76 Cafe & Catering,$$,Other,4.5,259,"18401 76th Ave W, Ste 103, Edmonds, WA 98026",47.8319026,-122.3371942
,Italian,Bistro Baffi Italian Restaurant & Bar,$$$,Other,4.5,290,,,
,Conveyor Belt Sushi,BittyFish Sushi,n/a,Other,4,63,"3000 184th St SW, Lynnwood, WA 98037",47.8305245,-122.2697217
,American,BJ’s Restaurant & Brewhouse,$$,Other,2.5,578,,,
,Steakhouses,Black Angus Steakhouse,$$,Other,3,383,,,
,Diners,Black Bear Diner,$$,Other,3,598,"32065 Pacific Hwy S, Federal Way, WA 98003",,
Belltown,American,Black Bottle,$$,Other,4,1112,"2600 1st Ave, Seattle, WA 98121",47.6156334,-122.3506214
,American,Black Bottle,$$,Other,4,679,"919 Bellevue Way NE, Bellevue, WA 98004",47.6185997,-122.201955
,American,Blackbird,n/a,Hidden Gem,4.5,22,"1843 NW 195th St, Shoreline, WA 98177",47.7702079,-122.3817702
,Bakeries,Blazing Bagels,$,Other,4.5,529,,,
,Laotian,Blazing Bowl,$$,Hidden Gem,4.5,98,"15600 NE 8th St, Ste PM6, Bellevue, WA 98008",47.6194159,-122.1307166
,Burgers,Blazing Onion Burger,$$,Other,3.5,427,,,
Capitol Hill,Pizza,Blotto,n/a,Hidden Gem,5,11,,,
,Pizza,Blu Sardinia,$$,Other,4,290,,,
,Sushi Bars,Blue Island Sushi and Roll,$$,Other,3.5,371,,,
,Thai,BMG Thai Asian Restaurant,$$,Other,4.5,654,,,
,Burgers,Bob’s Burgers,$$,Other,4.5,245,,,
,Bubble Tea,BobaLust,n/a,Hidden Gem,4.5,34,"1770 S 320th St, Federal Way, WA 98003",,
,Hawaiian,Bobby’s Hawaiian Style Restaurant,$$,Other,4,310,,,
,Korean,Bogul Bogul Cafe,$$,Other,4,149,"33320 Pacific Hwy S, Ste 106, Federal Way, WA 98003",,
,Seafood,Boiling Crawfish,$$,Other,3.5,413,,,
,Chinese,Boiling Fish,n/a,Hidden Gem,4.5,36,"22511 Hwy 99, Ste 101, Edmonds, WA 98026",47.7950792,-122.3334822
,Taiwanese,Boiling Point,$$,Other,3.5,446,"22001 Hwy 99, Ste 100, Edmonds, WA 98026",,
,Chicken Shop,Bok a Bok Fried Chicken,n/a,Other,3,17,,,
,Steakhouses,Botteco Brazil,n/a,Hidden Gem,4.5,23,"14561 Bothell Way NE, Shoreline, WA 98155",47.7354452,-122.2928948
,Bars,Bottle & Bull,$$$,Other,4,368,"105 Lake St S, Kirkland, WA 98033",47.675146,-122.206525
Madrona,Wine Bars,Bottlehouse,$$,Other,4.5,350,,,
Queen Anne,Salad,Bounty Kitchen,$$,Other,4.5,370,,,
Denny Triangle,Breakfast & Brunch,Bounty Kitchen Denny Triangle,$$,Other,4,97,"801 Lenora St, Seattle, WA 98121",47.6165074,-122.3376193
,Korean,Bowl Gogi,$$,Hidden Gem,4.5,69,"500 108th Ave NE, Bellevue, WA 98004",47.6150107,-122.1957478
,Pizza,Brier Pizza Kitchen,$$,Other,4,176,,,
,Barbeque,Brileys BBQ & Grill,$$,Other,4.5,694,"15030 Bothell Way NE, Lake Forest Park, WA 98155",47.7385548,-122.289992
,Burgers,Broiler Bay,$,Other,4,340,"10636 Main St, Bellevue, WA 98004",47.610475,-122.1976477
,Italian,Brooklyn Calzones,n/a,Hidden Gem,5,2,,,
,Bagels,Bruchelle’s Bagel Bistro,$$,Other,4.5,170,,,
,Pizza,BSN Pizza,$,Other,4,60,,,
,Italian,Bucatini,$$,Other,4.5,469,"9818 Edmonds Way, Edmonds, WA 98020",47.7902974,-122.3653532
,German,Budapest Bistro,$$,Other,4.5,152,,,
Beacon Hill,Asian Fusion,Buddha Bruddah,$$,Other,4,257,"2201 Rainier Ave S, Seattle, WA 98144",47.5831786,-122.3022437
Haller Lake,Szechuan,Buerjia Chinese Sauerkraut Fish,n/a,Other,3.5,29,"13200 Aurora Ave N, Seattle, WA 98133",,
,Chicken Wings,Buffalo Wild Wings,$$,Other,2.5,629,"2005 S 320th St, Federal Way, WA 98063",,
University District,Korean,Bugis,$$,Other,4.5,106,"4241 NE University Way, Seattle, WA 98105",47.6595299,-122.3133359
,Noodles,Bullettrain Udon,$,Hidden Gem,4.5,17,"15505 Westminster Way N, Shoreline, WA 98133",47.7425975,-122.3502909
,Bars,Bungalow at Juanita Beach,$$,Other,4,141,"9714 NE Juanita Dr, Kirkland, WA 98034",47.7049962,-122.2126032
,Burgers,Burger Express,$,Other,4,386,,,
,Burgers,Burger Han’s,$,Other,3.5,72,,,
Licton Springs,Burgers,Burgermaster,$,Other,4,255,"10606 Northup Way, Bellevue, WA 98004",47.642186,-122.1988023
